"V1"
0.107550036310162-0.196191492191291i
0.121440511807424-0.175252598306516i
0.117731327257455-0.154805488003324i
0.099551344499654-0.145679609958987i
0.074528992021352-0.146576857659441i
0.049237102230289-0.1463107178457i
0.026838623571835-0.136014899520536i
0.008205335337009-0.117235325431321i
-0.0065498950518844-0.097435803483584i
-0.0178902483432417-0.0797202839499203i
-0.0269287476399704-0.0597265120485141i
-0.03453801806099-0.0327589332713568i
-0.0403905686243992-0.0012942822550011i
-0.0434381439567337+0.0269664986704534i
-0.0433113648577413+0.0480374659653965i
-0.0405850251578866+0.0662987240560032i
-0.0353834960294825+0.0888724939681345i
-0.026402286732131+0.116166304693656i
-0.012210765260897+0.139553919909469i
0.006329697963726+0.149044928203639i
0.025496145709493+0.143050014424059i
0.040869926784958+0.130724984131617i
0.049816440741408+0.125239112947999i
0.051734929302019+0.134385812930423i
0.046649101179368+0.155933709403949i
0.034735805220927+0.180129316795511i
0.017573560730554+0.196467699929597i
-0.001095292204192+0.199753732116257i
-0.017054345827071+0.191685153764634i
-0.028433316395221+0.177520185106361i
-0.036482062965563+0.161116855799338i
-0.043442163051682+0.142852304348653i
-0.050133986343013+0.121851044063818i
-0.0559138668917655+0.0991587462230117i
-0.0603561963777896+0.0775035970749235i
-0.06391014857184+0.0578250804551226i
-0.0666816602314476+0.037426107035818i
-0.0674292775983666+0.0129897262302523i
-0.0646014080467516-0.0147874282117922i
-0.058141917550461-0.0410986664714943i
-0.0494657736505923-0.0623096199213605i
-0.0395624816404368-0.0802518134342335i
-0.028033988054187-0.0997974427801816i
-0.01466748373891-0.122467971833237i
-0.00121291813161-0.1443312052688i
0.009939158838625-0.161133433762078i
0.019438931104738-0.173855141528588i
0.032195580330473-0.186721947926187i
0.053174313429373-0.199611022152436i
0.081209982615416-0.205185021032214i
