"V1"
0.104680259131256-0.198316573497222i
0.118976778730967-0.177187908571761i
0.116218363665953-0.155439053155636i
0.099001180618197-0.143712693941477i
0.074817356692843-0.142188552698539i
0.050431297796271-0.141433808430982i
0.028982720069087-0.132687371616178i
0.010979279012886-0.115828627830087i
-0.0036810533612863-0.0967395102934799i
-0.0151634253057208-0.0786349152570155i
-0.0241158676670048-0.0584711579770813i
-0.0313674912407231-0.032289004031255i
-0.0369689511897269-0.0019094339042499i
-0.0400946946218508+0.0259853922928613i
-0.0401478190643668+0.0474296136623818i
-0.0374655649099024+0.06588791140135i
-0.0324436588331571+0.0878916663630576i
-0.024297880991044+0.114314542261512i
-0.011577600675517+0.137378841915387i
0.005633513740612+0.14726811411939i
0.024349869318217+0.141847473888856i
0.039988102598914+0.129885709512293i
0.049064906342307+0.124829654214667i
0.05052089116056+0.134897609075402i
0.044858224671177+0.157694357110553i
0.032971111002909+0.182795448190774i
0.016376891877269+0.199265864991564i
-0.001983509426332+0.202105339957543i
-0.01837250690783+0.193430110688935i
-0.030392957179951+0.178638461746039i
-0.038386251538579+0.161543435049935i
-0.044442195703112+0.142686674579777i
-0.050164784688182+0.121520179375188i
-0.0556591946814152+0.0990915357288018i
-0.0603706323522818+0.0776572684326632i
-0.0640824429700602+0.057761979652617i
-0.0666543218723859+0.0369260150161374i
-0.0672733402904747+0.0123782837308264i
-0.0647573514311539-0.0150848420268039i
-0.0587461723396022-0.0411739633548578i
-0.0500804459471348-0.0626512767578376i
-0.0397651567040224-0.0810021651621545i
-0.028088258206822-0.100461354675941i
-0.015310238566432-0.122614479704954i
-0.002770606684714-0.144410085458715i
0.007963038120192-0.162207621405514i
0.01774364226613-0.176419699071493i
0.030819702573672-0.190076364304692i
0.051487903773323-0.202635373048417i
0.078759342188044-0.207535646782169i
